,GeoFips,GeoName,year,MEDINC,MEDVAL,MOE,UMEDVAL,LMEDVAL,PERINC,POP,RPPALL,RPPGOODS,RPPRENT,RPPSOTH,IPD
59,16220,"Casper, WY (Metropolitan Statistical Area)",2019,72187,208700,5138,213838,203562,5764702,79858,93,93,84.8,99.2,101.3
60,16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",2019,53143,155800,1837,157637,153963,14509845,273032,88.4,94.6,71.1,92.1,96.3
61,16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",2019,47934,180400,2818,183218,177582,7431056,155027,94.3,98.9,79.4,97.9,102.7
62,16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",2019,46616,159700,2521,162221,157179,10536670,226033,91,95.3,83.7,91.3,99.1
63,16620,"Charleston, WV (Metropolitan Statistical Area)",2019,45276,107600,2521,110121,105079,11639393,257074,86,95.2,57.2,95.2,93.6
64,16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",2019,53119,236700,2429,239129,234271,42607758,802122,97.1,96.6,101.4,95.1,105.7
65,16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",2019,53916,200000,1446,201446,198554,142170385,2636883,94.4,96.2,89.5,95.1,102.8
66,16820,"Charlottesville, VA (Metropolitan Statistical Area) *",2019,69003,291100,4494,295594,286606,15084997,218615,98.8,96.4,112.8,95.1,107.6
67,16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",2019,47376,163100,1644,164744,161456,26776612,565194,89,96.6,73.3,90.5,96.9
68,16940,"Cheyenne, WY (Metropolitan Statistical Area)",2019,54113,227900,5083,232983,222817,5384262,99500,92.4,93,83.2,99.2,100.6
69,16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",2019,63500,239600,635,240235,238965,600616821,9458539,102.8,100.2,112.4,100.1,111.9
70,17020,"Chico, CA (Metropolitan Statistical Area)",2019,47860,271700,5529,277229,266171,10490209,219186,100.6,98.2,102.6,102.2,109.5
71,17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",2019,56033,168900,791,169691,168109,124461934,2221208,90.6,95.9,78.5,92.3,98.6
72,17300,"Clarksville, TN-KY (Metropolitan Statistical Area)",2019,41881,154600,2025,156625,152575,12891821,307820,88.2,96.5,73.2,90.5,96.1
73,17420,"Cleveland, TN (Metropolitan Statistical Area)",2019,39839,156300,3018,159318,153282,4977562,124942,85.5,92.7,67.1,90.2,93.1
74,17460,"Cleveland-Elyria, OH (Metropolitan Statistical Area)",2019,55451,151600,725,152325,150875,113588996,2048449,89.9,95.9,76.3,92.2,97.9
75,17660,"Coeur d'Alene, ID (Metropolitan Statistical Area)",2019,46645,260300,6078,266378,254222,7728980,165697,93.5,97.7,86.7,93.9,101.8
76,17780,"College Station-Bryan, TX (Metropolitan Statistical Area)",2019,41742,186800,4602,191402,182198,11050339,264728,91.2,96,84.7,91.2,99.4
77,17820,"Colorado Springs, CO (Metropolitan Statistical Area)",2019,51120,275700,1975,277675,273725,38125082,745791,99.3,93.2,111.4,99,108.1
78,17860,"Columbia, MO (Metropolitan Statistical Area)",2019,47482,175400,4255,179655,171145,9884411,208173,89.9,94.7,78,92.2,97.9
79,17900,"Columbia, SC (Metropolitan Statistical Area)",2019,46523,154400,1211,155611,153189,39006819,838433,91.4,96.2,77.6,95.1,99.5
80,17980,"Columbus, GA-AL (Metropolitan Statistical Area)",2019,42183,142800,3009,145809,139791,13542897,321048,88.6,96.2,69.3,95.1,96.5
81,18020,"Columbus, IN (Metropolitan Statistical Area)",2019,52546,153500,5053,158553,148447,4402236,83779,88.7,94.6,77.5,90.3,96.6
82,18140,"Columbus, OH (Metropolitan Statistical Area)",2019,52477,184800,1056,185856,183744,111370103,2122271,91.6,95.3,85,91.3,99.8
83,18580,"Corpus Christi, TX (Metropolitan Statistical Area)",2019,45140,135900,2212,138112,133688,19366168,429024,92.4,96.5,87.7,91.3,100.6
84,18700,"Corvallis, OR (Metropolitan Statistical Area)",2019,48725,331300,7332,338632,323968,4534024,93053,102.9,102.8,110.7,97.7,112
85,18880,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",2019,54270,221300,3858,225158,217442,15456503,284809,94.5,94.5,93.5,95.2,102.9
86,19060,"Cumberland, MD-WV (Metropolitan Statistical Area)",2019,41195,127400,3986,131386,123414,4007649,97284,83.7,96.6,54.6,95.1,91.2
87,19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",2019,58725,215700,779,216479,214921,444730277,7573136,101.2,98.9,109.9,98.6,110.1
88,19140,"Dalton, GA (Metropolitan Statistical Area)",2019,37444,127100,3569,130669,123531,5418976,144724,85.7,92.4,62.9,95,93.4
89,19180,"Danville, IL (Metropolitan Statistical Area)",2019,40109,79900,2168,82068,77732,3038613,75758,79.1,94.6,51,90.3,86.1
90,19300,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",2019,47485,197900,4048,201948,193852,10600260,223234,90.2,96.8,81.7,90.5,98.3
91,19340,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",2019,50502,136200,1541,137741,134659,19149116,379172,88.3,94.7,71.7,92.2,96.1
92,19430,"Dayton-Kettering, OH (Metropolitan Statistical Area)",2019,49161,135000,1357,136357,133643,39703066,807611,87.6,95.4,69.6,91.4,95.4
93,19460,"Decatur, AL (Metropolitan Statistical Area)",2019,40295,131000,3948,134948,127052,6149159,152603,83.7,96.8,53.5,90.5,91.1
94,19500,"Decatur, IL (Metropolitan Statistical Area)",2019,48764,98400,2038,100438,96362,5071870,104009,85,95.4,60.3,91.4,92.5
95,19660,"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",2019,44762,184200,1615,185815,182585,29917225,668365,95.8,96.5,95.6,95.1,104.3
96,19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",2019,67236,380900,1318,382218,379582,199503851,2967239,104.2,97.7,139,95.9,113.4
97,19780,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",2019,55039,182400,1912,184312,180488,38488124,699292,92.3,94.6,87.7,92.1,100.5
98,19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",2019,54172,170000,592,170592,169408,234001030,4319629,95.3,97.8,86.1,97.7,103.8
99,20020,"Dothan, AL (Metropolitan Statistical Area)",2019,43143,127500,3164,130664,124336,6443785,149358,83.6,96,55.5,90.5,91
100,20100,"Dover, DE (Metropolitan Statistical Area)",2019,43097,220600,3934,224534,216666,7791288,180786,92.5,96.6,82.4,95.1,100.7
101,20220,"Dubuque, IA (Metropolitan Statistical Area)",2019,51525,166800,2785,169585,164015,5013959,97311,89.1,94.7,74.3,92.2,97
102,20260,"Duluth, MN-WI (Metropolitan Statistical Area)",2019,47654,158900,1496,160396,157404,13759223,288732,89.5,94.6,77.5,92.1,97.5
103,20500,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",2019,54423,226100,2540,228640,223560,35068510,644367,94.8,95.8,91.7,95.2,103.2
104,20700,"East Stroudsburg, PA (Metropolitan Statistical Area)",2019,43823,168000,2125,170125,165875,7461802,170271,98.4,98.9,98.3,97.9,107.1
105,20740,"Eau Claire, WI (Metropolitan Statistical Area)",2019,48956,168600,1878,170478,166722,8288411,169304,89,95.4,74.9,91.4,97
106,20940,"El Centro, CA (Metropolitan Statistical Area)",2019,40447,195800,6460,202260,189340,7329602,181215,90.4,102.8,67.3,97.7,98.4
107,21060,"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",2019,43076,152700,3058,155758,149642,6630660,153928,86.5,92.7,71.9,90.1,94.2
108,21140,"Elkhart-Goshen, IN (Metropolitan Statistical Area)",2019,46975,144300,2657,146957,141643,9692815,206341,88.8,95.4,73.2,91.4,96.7
109,21300,"Elmira, NY (Metropolitan Statistical Area)",2019,46421,105800,2993,108793,102807,3874102,83456,94.9,98.9,83,97.9,103.4
110,21340,"El Paso, TX (Metropolitan Statistical Area)",2019,37633,121300,935,122235,120365,31766708,844124,87.7,96.4,73.3,91.3,95.5
111,21420,"Enid, OK (Metropolitan Statistical Area)",2019,44899,112600,5239,117839,107361,2741380,61056,88.3,96.5,71.6,91.3,96.1
112,21500,"Erie, PA (Metropolitan Statistical Area)",2019,46379,134100,2049,136149,132051,12509662,269728,91.3,98.9,69.5,97.9,99.4
113,21660,"Eugene-Springfield, OR (Metropolitan Statistical Area)",2019,47340,263200,2968,266168,260232,18087217,382067,99.4,98.2,97.9,102.2,108.3
114,21780,"Evansville, IN-KY (Metropolitan Statistical Area)",2019,48896,139400,1842,141242,137558,15406351,315086,87.5,95.4,68,91.4,95.3
115,21820,"Fairbanks, AK (Metropolitan Statistical Area) *",2019,59958,240000,6430,246430,233570,5806852,96849,106.8,101.1,137.2,97.9,116.3
116,22020,"Fargo, ND-MN (Metropolitan Statistical Area)",2019,54932,215200,3646,218846,211554,13521155,246145,90.6,94.7,80.9,92.2,98.6
117,22140,"Farmington, NM (Metropolitan Statistical Area)",2019,35999,151200,4094,155294,147106,4462308,123958,90.3,97.7,73.5,93.9,98.3
118,22180,"Fayetteville, NC (Metropolitan Statistical Area)",2019,38204,141000,1919,142919,139081,20122626,526719,89,95.4,73.3,95.2,96.9
119,22220,"Fayetteville-Springdale-Rogers, AR (Metropolitan Statistical Area)",2019,67771,176000,3067,179067,172933,36251158,534904,88.2,96.4,70.1,91.3,96
120,22380,"Flagstaff, AZ (Metropolitan Statistical Area)",2019,49189,280900,7748,288648,273152,7057376,143476,99.3,97.7,110.8,93.9,108.2
121,22420,"Flint, MI (Metropolitan Statistical Area)",2019,41929,111100,1545,112645,109555,17015416,405813,88.7,97.7,65.9,95.7,96.6
122,22500,"Florence, SC (Metropolitan Statistical Area)",2019,42439,118600,3039,121639,115561,8696180,204911,87.5,95.6,62.6,95.1,95.3
123,22520,"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",2019,39102,135300,3333,138633,131967,5785895,147970,80.7,96.8,45.9,90.5,87.9
124,22540,"Fond du Lac, WI (Metropolitan Statistical Area)",2019,49949,157800,2116,159916,155684,5164866,103403,87.8,94.6,73,90.3,95.6
125,22660,"Fort Collins, CO (Metropolitan Statistical Area)",2019,55884,363800,3285,367085,360515,19944871,356899,102,93,125.7,99.2,111
126,22900,"Fort Smith, AR-OK (Metropolitan Statistical Area)",2019,38382,115000,2457,117457,112543,9609548,250368,82.9,96.3,55.2,91.2,90.3
127,23060,"Fort Wayne, IN (Metropolitan Statistical Area)",2019,47516,130700,1492,132192,129208,19636577,413263,88.1,95.4,70.4,91.4,95.9
128,23420,"Fresno, CA (Metropolitan Statistical Area)",2019,45487,255000,2340,257340,252660,45445944,999101,97.5,98.2,89.9,102.2,106.1
129,23460,"Gadsden, AL (Metropolitan Statistical Area)",2019,38326,113700,5290,118990,108410,3919481,102268,82.2,96.8,50,90.5,89.5
130,23540,"Gainesville, FL (Metropolitan Statistical Area)",2019,44880,167500,2970,170470,164530,14771206,329128,94.4,95.5,91.3,95.2,102.8
131,23580,"Gainesville, GA (Metropolitan Statistical Area)",2019,45576,201300,5669,206969,195631,9317545,204441,91.2,92.5,83.1,95,99.3
132,23900,"Gettysburg, PA (Metropolitan Statistical Area)",2019,50182,205800,3823,209623,201977,5169186,103009,95.6,98.9,85.5,97.9,104.1
133,24020,"Glens Falls, NY (Metropolitan Statistical Area)",2019,48823,172400,3128,175528,169272,6110108,125148,96.5,98.9,89.7,97.9,105.1
134,24140,"Goldsboro, NC (Metropolitan Statistical Area)",2019,39894,123500,4623,128123,118877,4912230,123131,87.1,96.6,62.6,95.1,94.8
135,24220,"Grand Forks, ND-MN (Metropolitan Statistical Area)",2019,51950,192100,3709,195809,188391,5237350,100815,89.4,94.7,77.2,92.2,97.3
136,24260,"Grand Island, NE (Metropolitan Statistical Area)",2019,45487,143200,3878,147078,139322,3436663,75553,85.5,93.9,64.3,91.1,93.1
137,24300,"Grand Junction, CO (Metropolitan Statistical Area)",2019,46719,227000,4298,231298,222702,7204611,154210,93.7,97.7,87.6,93.9,102
138,24340,"Grand Rapids-Kentwood, MI (Metropolitan Statistical Area)",2019,50330,172900,1027,173927,171873,54223857,1077370,92,95.3,87,91.3,100.2
139,24420,"Grants Pass, OR (Metropolitan Statistical Area)",2019,43554,265500,6670,272170,258830,3810451,87487,95.5,102.8,82.7,97.7,104
140,24500,"Great Falls, MT (Metropolitan Statistical Area)",2019,49803,179900,3665,183565,176235,4052262,81366,91.9,93,80.5,99.2,100.1
141,24540,"Greeley, CO (Metropolitan Statistical Area) *",2019,50198,299000,3597,302597,295403,16288858,324492,98,96.4,103,96.6,106.7
142,24580,"Green Bay, WI (Metropolitan Statistical Area)",2019,52981,171200,1363,172563,169837,17107901,322906,89.7,95.3,76.9,91.2,97.7
143,24660,"Greensboro-High Point, NC (Metropolitan Statistical Area)",2019,44859,149200,1543,150743,147657,34624284,771851,90,96.2,71.3,95.1,98
