"GEO_ID","NAME","B25077_001E","B25077_001M"
"id","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)"
"310M100US25860","Hickory-Lenoir-Morganton, NC Metro Area","118700","1889"
"310M100US25900","Hilo, HI Micro Area","342100","6617"
"310M100US25940","Hilton Head Island-Beaufort, SC Micro Area","262200","7156"
"310M100US25980","Hinesville-Fort Stewart, GA Metro Area","119100","4437"
"310M100US26020","Hobbs, NM Micro Area","93900","3658"
"310M100US26100","Holland-Grand Haven, MI Metro Area","158900","1628"
"310M100US26140","Homosassa Springs, FL Micro Area","134800","4320"
"310M100US26180","Honolulu, HI Metro Area","560300","4382"
"310M100US26220","Hood River, OR Micro Area","326900","21569"
"310M100US26260","Hope, AR Micro Area","64500","5466"
"310M100US26300","Hot Springs, AR Metro Area","128400","4716"
"310M100US26340","Houghton, MI Micro Area","86200","2555"
"310M100US26380","Houma-Bayou Cane-Thibodaux, LA Metro Area","122400","2820"
"310M100US26420","Houston-Sugar Land-Baytown, TX Metro Area","140000","512"
"310M100US26460","Hudson, NY Micro Area","224100","5369"
"310M100US26480","Humboldt, TN Micro Area","86900","2758"
"310M100US26500","Huntingdon, PA Micro Area","111700","3995"
"310M100US26540","Huntington, IN Micro Area","98800","2833"
"310M100US26580","Huntington-Ashland, WV-KY-OH Metro Area","93600","1306"
"310M100US26620","Huntsville, AL Metro Area","154500","2085"
"310M100US26660","Huntsville, TX Micro Area","108100","5397"
"310M100US26700","Huron, SD Micro Area","84000","6549"
"310M100US26740","Hutchinson, KS Micro Area","88700","1870"
"310M100US26780","Hutchinson, MN Micro Area","166200","3090"
"310M100US26820","Idaho Falls, ID Metro Area","157600","2877"
"310M100US26860","Indiana, PA Micro Area","103700","2742"
"310M100US26900","Indianapolis-Carmel, IN Metro Area","144500","751"
"310M100US26940","Indianola, MS Micro Area","65500","2390"
"310M100US26980","Iowa City, IA Metro Area","168900","2624"
"310M100US27020","Iron Mountain, MI-WI Micro Area","92600","4568"
"310M100US27060","Ithaca, NY Metro Area","165900","3553"
"310M100US27100","Jackson, MI Metro Area","123200","2249"
"310M100US27140","Jackson, MS Metro Area","129000","2270"
"310M100US27180","Jackson, TN Metro Area","112000","2820"
"310M100US27220","Jackson, WY-ID Micro Area","535100","37946"
"310M100US27260","Jacksonville, FL Metro Area","183300","1745"
"310M100US27300","Jacksonville, IL Micro Area","91500","3370"
"310M100US27340","Jacksonville, NC Metro Area","144300","2239"
"310M100US27380","Jacksonville, TX Micro Area","71000","4060"
"310M100US27420","Jamestown, ND Micro Area","92800","4857"
"310M100US27460","Jamestown-Dunkirk-Fredonia, NY Micro Area","80900","1534"
"310M100US27500","Janesville, WI Metro Area","139000","1671"
"310M100US27540","Jasper, IN Micro Area","118500","3787"
"310M100US27580","Jayuya, PR Micro Area","96500","3549"
"310M100US27620","Jefferson City, MO Metro Area","131600","2613"
"310M100US27660","Jennings, LA Micro Area","85400","2494"
"310M100US27700","Jesup, GA Micro Area","86400","5670"
"310M100US27740","Johnson City, TN Metro Area","123700","2412"
"310M100US27780","Johnstown, PA Metro Area","87600","1614"
"310M100US27860","Jonesboro, AR Metro Area","97100","2947"
