"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
" Pair "," Player Name                     ","Total","Round","Round","Round","Round","Round","Round","Round","  Num  "," USCF I "," Rtg (Pre->Post)       "," Pts ","  1  ","  2  ","  3  ","  4  ","  5  ","  6  ","  7  "," "
"   53 "," JOSE C YBARRA                   ","2.0  ","H    ","  25","H    ","  44","U    ","  57","U    ","   MI "," 12578849 "," R: 1393   ->1359     ","     ","     ","B    ","     ","    ","     ","    ","     ","   53 "
"   54 "," ARRY HOGE                     ","2.0  ","  14","  39","  61","B    ","  15","  59","  64","   MI "," 12836773 "," R: 1270   ->1200     ","     ","B    ","B    ","    ","     ","    ","B    ","    ","   54 "
"   55 "," AEX KONG                       ","2.0  ","  62","  31","  10","  30","B    ","  45","  43","   MI "," 15412571 "," R: 1186   ->1163     ","     ","    ","B    ","    ","B    ","     ","    ","B    ","   55 "
"   56 "," MARISA RICCI                    ","2.0  ","H    ","  11","  35","  45","H    ","  40","  42","   MI "," 14679887 "," R: 1153   ->1140     ","     ","     ","B    ","    ","    ","     ","B    ","    ","   56 "
"   57 "," MICHAE U                      ","2.0  ","   7","  36","  42","  51","  35","  53","B    ","   MI "," 15113330 "," R: 1092   ->1079     ","     ","B    ","    ","    ","B    ","    ","B    ","     ","   57 "
"   58 "," VIRAJ MOHIE                    ","2.0  ","  31","   2","  41","  23","  49","B    ","  45","   MI "," 14700365 "," R:  917   -> 941     ","     ","    ","B    ","    ","B    ","    ","     ","B    ","   58 "
"   59 "," SEAN M MC CORMICK               ","2.0  ","  41","B    ","   9","  40","  43","  54","  44","   MI "," 12841036 "," R:  853   -> 878     ","     ","    ","     ","B    ","B    ","    ","    ","B    ","   59 "
"   60 "," JUIA SHEN                      ","1.5  ","  33","  34","  45","  42","  24","H    ","U    ","   MI "," 14579262 "," R:  967   -> 984     ","     ","    ","B    ","B    ","    ","B    ","     ","     ","   60 "
"   61 "," JEZZE FARKAS                   ","1.5  ","  32","   3","  54","  47","  42","  30","  37","   ON "," 15771592 "," R:  955P11-> 979P18  ","     ","B    ","    ","B    ","    ","B    ","    ","B    ","   61 "
"   62 "," ASHIN BAAJI                   ","1.0  ","  55","U    ","U    ","U    ","U    ","U    ","U    ","   MI "," 15219542 "," R: 1530   ->1535     ","     ","B    ","     ","     ","     ","     ","     ","     ","   62 "
"   63 "," THOMAS JOSEPH HOSMER            ","1.0  ","   2","  48","  49","  43","  45","H    ","U    ","   MI "," 15057092 "," R: 1175   ->1125     ","     ","    ","B    ","    ","B    ","B    ","     ","     ","   63 "
"   64 "," BEN I                          ","1.0  ","  22","  30","  31","  49","  46","  42","  54","   MI "," 15006561 "," R: 1163   ->1112     ","     ","B    ","    ","    ","B    ","    ","B    ","B    ","   64 "
